EHV,MaksKorrust,EhitisealunePind,Kõrgus,Pikkus,Laius,LiftideArv,Aasta
120801759,2,650.4,7.1,52.4,11.1,0,2018
120801756,2,650.4,7.1,52.4,11.1,0,2018
120801732,2,650.4,7.1,52.4,11.1,0,2018
120847092,2,433.1,7.2,37.7,11.4,0,2019
120847091,2,433.1,7.2,37.7,11.4,0,2019
120847090,2,433.1,7.2,37.7,11.4,0,2019
101019312,9,598,0,46.8,13.3,2,1974
101014868,9,599,29.8,46.9,13.3,2,1974
101019344,9,674,0,46.2,13.4,2,1974
120857076,12,521.3,38.8,28.3,21.2,2,2020
120791952,14,521.3,44.8,29.5,21.2,2,2020
120857095,12,521.3,38.8,28.3,21.2,2,2023
